English,Portugues
part,papel
history,história
search,procurar
only,apenas
police,polícia
thought,pensamento
help,ajuda
request,solicitar
kind,tipo
month,mês
brother,irmão
let,deixar
because,porque
to put,colocar
no,não
leash,coleira
them,eles
city,cidade
each,cada
speak,falar
come,vir
should,deve
baby,bebê
long time,muito tempo
hours,horas
will,vai
while,enquanto
meet again,Encontrar novamente
any,qualquer
square,quadrado
speak,falar
understood,entendido
knew,sabia
were,eram
Warning,Aviso
here is,aqui está
could,poderia
case,caso
give,dar
type,tipo
their,deles
given,dado
train,trem
body,corpo
place,lugar
eyes,olhos
way,caminho
listen,ouvir
whose,cujo
find,encontrar
first,primeiro
lost,perdido
hand,mão
first,primeiro
side,lado
power,poder
old,velho
be,ser
here,aqui
morning,manhã
so much,muito
child,criança
point,apontar
came,veio
after,depois
sorry,desculpe
come,vir
in front of,em frente de
towards,em direção a
minutes,minutos
request,solicitar
bedroom,quarto
placed,colocada
beautiful,lindo
law,lei
would like to,gostaria de
today,hoje
husband,marido
cause,causa
finally,finalmente
hope,ter esperança
water,água
Wait,Espere
left,esquerda
new,novo
job,trabalho
Stop,Parar
would say,diria
Earth,Terra
account,conta
given,dado
far,distante
end,fim
believe,acreditar
sweetheart,querido
large,grande
rather,em vez de
will have,terá
girls,garotas
to play,jogar
office,escritório
